datetime,t2m,u10m,v10m,sp
2019/09/04 23:48:38,273.3248,0.8976912,-7.5292377,100543.086
2019/09/05 00:48:38,273.45578,0.51568675,-7.2723236,100506.945
2019/09/05 01:48:38,273.60986,0.34457195,-6.3991294,100508.47
2019/09/05 02:48:38,273.68707,0.7429191,-5.416476,100522.75
2019/09/05 03:48:38,273.65677,1.6029934,-3.9752321,100549.836
2019/09/05 04:48:38,273.49805,3.7620604,-1.8818291,100551.38
2019/09/05 05:48:38,273.7528,4.8763084,-1.114086,100528.98
2019/09/05 06:48:38,274.0911,7.2383113,-1.2486851,100499.195
2019/09/05 07:48:38,274.21478,7.595334,-1.1240147,100486.4
2019/09/05 08:48:38,274.16983,7.711829,-0.7704179,100462.42
2019/09/05 09:48:38,274.11566,7.873408,-0.24516809,100456.75
2019/09/05 10:48:38,274.1023,8.154443,0.07003078,100438.87
2019/09/05 11:48:38,274.06607,8.154035,0.2534364,100430.66
2019/09/05 12:48:38,274.001,7.9088473,0.15676013,100408.086
2019/09/05 13:48:38,273.9974,7.812717,-0.050081242,100436.11
2019/09/05 14:48:38,273.90945,7.6112943,-0.36587715,100421.305
2019/09/05 15:48:38,273.73468,7.4762974,-0.76145625,100404.695
2019/09/05 16:48:38,273.75354,6.995559,-1.7179637,100446.93
2019/09/05 17:48:38,274.0466,6.612415,-2.0292914,100447.34
2019/09/05 18:48:38,274.21906,6.207169,-1.6073838,100429.96
2019/09/05 19:48:38,274.1727,5.7682366,-2.565065,100440.01
2019/09/05 20:48:38,274.04132,4.847725,-3.6256826,100464.1
2019/09/05 21:48:38,273.87692,3.3598857,-4.7284017,100495.016
2019/09/05 22:48:38,273.0287,2.1594648,-6.9816294,100536.516
2019/09/05 23:48:38,273.28278,1.4236066,-7.2330346,100573.93
2019/09/06 00:48:38,272.47665,1.511906,-8.0970335,100613.586
2019/09/06 01:48:38,271.8346,1.6506609,-8.233638,100634.41
2019/09/06 02:48:38,271.72412,1.5307263,-8.377618,100682.31
2019/09/06 03:48:38,271.85577,1.1199404,-8.574087,100679.43
2019/09/06 04:48:38,271.95312,0.70453435,-8.545087,100704.53
2019/09/06 05:48:38,271.92084,0.6012289,-7.941095,100740.07
2019/09/06 06:48:38,272.46,1.53748,-5.1610117,100705.32
2019/09/06 07:48:38,272.64743,3.3811998,-3.9210153,100709.99
2019/09/06 08:48:38,272.84702,5.820932,-3.1959124,100732.914
2019/09/06 09:48:38,272.477,8.351816,-2.8534155,100698.65
2019/09/06 10:48:38,272.27194,8.121634,-2.4375324,100714.45
2019/09/06 11:48:38,272.29953,7.988195,-2.4019432,100711.91
2019/09/06 12:48:38,272.32925,7.755225,-2.70801,100702.27
2019/09/06 13:48:38,272.3868,7.3556027,-3.1634972,100689.7
2019/09/06 14:48:38,272.4168,6.7585864,-3.4001203,100684.36
2019/09/06 15:48:38,272.49515,6.318949,-3.2902336,100696.695
2019/09/06 16:48:38,272.56296,6.186685,-2.9680939,100716.484
2019/09/06 17:48:38,272.58746,6.237956,-2.6302626,100703.766
2019/09/06 18:48:38,272.94977,6.359022,-1.7498845,100734.164
2019/09/06 19:48:38,272.9088,6.4932723,-1.9928538,100698.6
2019/09/06 20:48:38,272.90515,6.285762,-2.3567584,100742.73
2019/09/06 21:48:38,272.80078,5.9629793,-2.5296564,100735.52
2019/09/06 22:48:38,272.96637,5.885147,-2.9971943,100735.45
2019/09/06 23:48:38,273.6775,5.7438817,-3.0999715,100739.35
2019/09/07 00:48:38,273.85895,5.904199,-3.2430084,100766.12
2019/09/07 01:48:38,273.83456,5.7405195,-2.7321174,100741.9
2019/09/07 02:48:38,273.83493,5.7883224,-2.0041075,100758.25
2019/09/07 03:48:38,273.88913,6.1203856,-0.7910374,100748.75
2019/09/07 04:48:38,273.58862,6.7886963,0.5702304,100743.234
2019/09/07 05:48:38,273.54523,7.1367702,0.75022364,100771.82
2019/09/07 06:48:38,273.4119,6.8955584,1.1090868,100686.266
2019/09/07 07:48:38,273.30063,7.06294,1.5707039,100700.87
2019/09/07 08:48:38,273.22482,7.44212,2.0718164,100721.53
2019/09/07 09:48:38,273.30948,7.6378293,2.4318666,100754.766
2019/09/07 10:48:38,273.2519,7.527357,2.5715623,100753.47
2019/09/07 11:48:38,273.26706,7.002957,2.605014,100731.01
2019/09/07 12:48:38,274.06705,6.483407,3.2214575,100771.73
2019/09/07 13:48:38,274.81155,6.202482,2.8263507,100828.734
2019/09/07 14:48:38,274.85614,5.8869724,1.9828213,100801.12
2019/09/07 15:48:38,274.9279,5.5456057,1.4540195,100789.03
2019/09/07 16:48:38,274.98734,5.285636,1.4886975,100823.51
2019/09/07 17:48:38,275.1241,5.470797,1.8811958,100814.87
2019/09/07 18:48:38,274.33902,5.522172,1.7591388,100865.27
