0
lat
lon
heading
zenith_true
zenith_apparent
azimuth
ship_distance
ship_bearing
sr50_dist
snow_depth
atmos_pressure
temp
rh
dew_point
mixing_ratio
vapor_pressure
rhi
brightness_temp_surface
skin_temp_surface
subsurface_heat_flux_A
subsurface_heat_flux_B
wspd_u_mean
wspd_v_mean
wspd_w_mean
wspd_vec_mean
wdir_vec_mean
temp_acoustic
wspd_u_std
wspd_v_std
wspd_w_std
temp_acoustic_std
h2o_licor
co2_licor
down_long_hemisp
down_short_hemisp
up_long_hemisp
up_short_hemisp
net_radiation
lat_qc
lon_qc
heading_qc
zenith_true_qc
zenith_apparent_qc
azimuth_qc
ship_distance_qc
ship_bearing_qc
sr50_dist_qc
snow_depth_qc
atmos_pressure_qc
temp_qc
rh_qc
dew_point_qc
mixing_ratio_qc
vapor_pressure_qc
rhi_qc
brightness_temp_surface_qc
skin_temp_surface_qc
subsurface_heat_flux_A_qc
subsurface_heat_flux_B_qc
wspd_u_mean_qc
wspd_v_mean_qc
wspd_w_mean_qc
wspd_vec_mean_qc
wdir_vec_mean_qc
temp_acoustic_qc
h2o_licor_qc
co2_licor_qc
down_long_hemisp_qc
down_short_hemisp_qc
up_long_hemisp_qc
up_short_hemisp_qc
net_radiation_qc
Hs
Hl
Hl_Webb
CO2_flux
CO2_flux_Webb
Cd
ustar
Tstar
zeta_level_n
WU_csp
WV_csp
UV_csp
WT_csp
UT_csp
VT_csp
Wq_csp
Uq_csp
Vq_csp
Wc_csp
Uc_csp
Vc_csp
phi_U
phi_V
phi_W
phi_T
phi_UT
nSU
nSV
nSW
nST
nSq
nSc
epsilon_U
epsilon_V
epsilon_W
epsilon
Phi_epsilon
NT
Phi_NT
Phix
DeltaU
DeltaV
DeltaT
Deltaq
Deltac
sigU
sigV
sigW
fs
sUs
sVs
sWs
sTs
sqs
scs
cWUs
cWVs
cUVs
cWTs
cUTs
cVTs
cWqs
cUqs
cVqs
cWcs
cUcs
cVcs
bulk_Hs
bulk_Hl
bulk_Hl_Webb
bulk_tau
bulk_z0
bulk_z0t
bulk_z0q
bulk_L
bulk_ustar
bulk_tstar
bulk_qstar
bulk_dter
bulk_dqer
bulk_Cd
bulk_Ch
bulk_Ce
bulk_Cdn_10m
bulk_Chn_10m
bulk_Cen_10m
bulk_Rr
bulk_Rt
bulk_Rq
